Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales
Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.24,4.35,3.49,3.1
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.22,3.01,0.01,1.1
Reactor,2600,1981,Action,Parker Bros.,0.22,6.06,3.35,1.2
Crazy Climber,2600,1981,Action,Atari,0.22,6.16,2.04,2.69
RealSports Baseball,2600,1981,Sports,Atari,0.21,6.76,3.07,0.14
International Soccer,2600,1981,Sports,Mattel Interactive,0.19,4.02,3.87,2.54
Armor Ambush,2600,1981,Action,Mattel Interactive,0.17,4.89,3,2.14
RealSports Volleyball,2600,1981,Sports,Atari,0.13,2.96,4.82,0.81
Pac-Man,2600,1982,Puzzle,Atari,7.81,4.99,3.64,0.38
Dig Dug,2600,1982,Puzzle,Atari,1.64,5.99,2.15,2.12
Mario Bros.,2600,1982,Platform,Atari,1.59,4.76,3.69,0.44
Pole Position,2600,1982,Racing,Atari,1.18,4.34,2.65,3.15
Moon Patrol,2600,1982,Shooter,Atari,1.12,5.01,3.07,1.25
Jungle Hunt,2600,1982,Platform,Atari,1.1,6.73,2.56,0.04
Joust,2600,1982,Platform,Atari,1.08,5.95,3.11,0
Enduro,2600,1982,Misc,Quelle,0.87,3.66,3.14,2.47
Yars' Revenge,2600,1982,Shooter,Atari,0.78,5.55,1.94,2.23
Galaxian,2600,1982,Shooter,Atari,0.77,7.04,1.95,0.08
Kangaroo,2600,1982,Platform,Atari,0.72,3.01,2.47,3.28
Keystone Kapers,2600,1982,Action,Activision,0.66,6.65,2.28,0.04
X-Man,2600,1982,Action,Universal Gamex,0.63,3.88,3.42,1.69
Battlezone,2600,1982,Shooter,Atari,0.62,5.8,2.85,0.01
Halloween,2600,1982,Action,Wizard Video Games,0.62,4.1,3.63,0.38
Q*bert,2600,1982,Puzzle,Parker Bros.,0.58,5.93,2.36,0.13
The Activision Decathlon,2600,1982,Sports,Activision,0.55,4.36,1.71,3
Action Force,2600,1982,Action,CPG Products,0.54,5.7,2.65,0.02
Popeye,2600,1982,Platform,Parker Bros.,0.54,2.03,2.36,4.39
Chopper Command,2600,1982,Shooter,Activision,0.5,4.4,1.85,1.98
RealSports Tennis,2600,1982,Sports,Atari,0.5,5.05,2.79,0.1
Gauntlet,2600,1982,Action,Answer Software,0.5,3.54,1.24,3.81
Congo Bongo,2600,1982,Action,Sega,0.4,1.12,6.12,0.06
Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.39,6.82,1.53,0.05
Gravitar,2600,1982,Action,Atari,0.38,1.75,3.47,2.49
Alien's Return,2600,1982,Action,ITT Family Games,0.34,3.74,2.24,1.58
Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.34,1.06,5.01,0.13
Frankenstein's Monster,2600,1982,Action,Data Age,0.32,5.8,2.01,0.13
Mountain King,2600,1982,Action,CBS Electronics,0.31,2.79,1.72,3.14
Polaris,2600,1982,Action,Tigervision,0.28,2.91,2.07,2.73
Mr. Do!,2600,1982,Action,Coleco,0.27,0.99,6.42,0
Porky's,2600,1982,Action,20th Century Fox Video Games,0.25,2.57,3.86,0.66
Assault,2600,1982,Action,Bomb,0.22,2.99,3.49,0.22
Death Trap,2600,1982,Action,Avalon Interactive,0.17,2.28,1.72,3.63
Pressure Cooker,2600,1982,Action,Activision,0.15,7.28,0.45,0
Krull,2600,1982,Action,Atari,0.14,2.76,1.72,2.69
Baseball,NES,1983,Sports,Nintendo,3.2,2.9,2.81,0.24
Mario Bros.,NES,1983,Platform,Nintendo,2.28,2.81,3.48,0.14
Mahjong,NES,1983,Misc,Nintendo,2.14,4.1,1.89,1.45
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.31,0.66,5.75,0.08
Donkey Kong,NES,1983,Platform,Nintendo,1.13,3.78,2.17,1.31
Donkey Kong Jr.,NES,1983,Platform,Nintendo,1.11,3.27,1.37,2.43
Popeye,NES,1983,Platform,Nintendo,1.1,3.56,2.35,0.98
Jr. Pac-Man,2600,1983,Puzzle,Atari,0.78,5.39,1.18,0.7
Crystal Castles,2600,1983,Action,Atari,0.77,4.59,2.11,0.01
Midnight Magic,2600,1983,Action,Atari,0.5,4.81,1.88,0
Millipede,2600,1983,Shooter,Atari,0.48,4.46,2.11,0.06
Gremlins,2600,1983,Action,Atari,0.46,3.27,2.83,0.08
Pengo,2600,1983,Adventure,Atari,0.4,3.48,2.99,0
Frostbite,2600,1983,Action,Activision,0.34,2.85,2.89,0.35
Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.33,2.53,3.27,0.24
Dolphin,2600,1983,Action,Activision,0.29,3.27,2.22,1.4
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.17,3.74,2.14,0.6
Duck Hunt,NES,1984,Shooter,Nintendo,28.31,2.98,1.45,2.26
Excitebike,NES,1984,Racing,Nintendo,4.16,3.68,1.75,1.42
Golf,NES,1984,Sports,Nintendo,4.01,3.15,2.15,1.28
Tennis,NES,1984,Sports,Nintendo,2.17,4.41,1.04,1.39
Pinball,NES,1984,Action,Nintendo,1.85,4.12,1.77,0.87
Xevious,NES,1984,Shooter,Namco Bandai Games,1.52,2.71,3.02,0.08
F1 Race,NES,1984,Racing,Nintendo,1.52,2.93,2.75,0.17
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,1.45,3.23,2.35,0.94
Hogan's Alley,NES,1984,Shooter,Nintendo,1.27,4.05,2.16,0
Pac-Man,NES,1984,Puzzle,Namco Bandai Games,1.22,4.15,1.9,0.06
Lode Runner,NES,1984,Puzzle,Hudson Soft,1.1,2.77,2.75,0.19
Clu Clu Land,NES,1984,Puzzle,Nintendo,0.82,3.45,2.59,0
Mappy,NES,1984,Platform,Namco Bandai Games,0.69,3.11,2.26,0.28
Beamrider,2600,1984,Racing,Activision,0.27,3.27,2.2,0.21
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24,0.84,4.3,0.11
Kung Fu,NES,1985,Action,Nintendo,3.5,1.66,2.75,1.6
Soccer,NES,1985,Sports,Nintendo,1.96,3.74,0.93,1.69
Ice Climber,NES,1985,Platform,Nintendo,1.5,2.79,2.53,0.17
Gyromite,NES,1985,Puzzle,Nintendo,1.32,0.78,4.24,0.07
Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,1.05,2.64,2.52,0.16
Bomberman,NES,1985,Puzzle,Hudson Soft,1.03,3.17,1.79,1.03
1942,NES,1985,Shooter,Capcom,1,4.98,1.3,0.08
Balloon Fight,NES,1985,Platform,Nintendo,0.92,2.55,2.6,0.25
Wrecking Crew,NES,1985,Platform,Nintendo,0.51,2.57,1.58,2.06
Ghostbusters,2600,1985,Puzzle,Activision,0.45,3.64,1.2,1.49
Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.41,2.55,1.56,1.29
Alter Ego,PC,1985,Simulation,Activision,0.03,4.34,1.34,0.06
Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0.02,3.7,1.95,0.09
The Legend of Zelda,NES,1986,Action,Nintendo,6.51,4.01,1.26,0.87
World Class Track Meet,NES,1986,Sports,Namco Bandai Games,3.08,2.47,0.83,2.87
Metroid,NES,1986,Action,Nintendo,2.73,0.08,6.21,0
Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,2.65,3.11,2.8,0.02
Dragon Warrior,NES,1986,Role-Playing,Capcom,2.52,4.05,1.59,0.07
Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,2.2,3.92,1.73,0.03
Rad Racer,NES,1986,Racing,Nintendo,1.96,3.54,1.88,0.07
Kid Icarus,NES,1986,Platform,Nintendo,1.76,0.8,4.33,0.05
Ghosts 'n Goblins,NES,1986,Action,Capcom,1.64,2.45,2.01,0.87
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,1.5,4.47,1.2,0.16
Gradius,NES,1986,Shooter,Konami Digital Entertainment,1.36,3.18,1.83,0.78
Castlevania,NES,1986,Platform,Konami Digital Entertainment,1.23,2.63,1.71,0.83
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,1.2,1.88,0,2.33
Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,1.2,2.41,2.18,0.28
Doraemon,NES,1986,Action,Hudson Soft,1.15,2.8,1.98,0.17
Commando,NES,1986,Action,Capcom,1.14,1.88,1.47,2.02
Adventure Island,NES,1986,Platform,Hudson Soft,1.05,0.63,0.67,4.35
Star Soldier,NES,1986,Shooter,Hudson Soft,0.96,2.26,1.89,1.36
The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.57,2.49,2.07,0.16
Solaris,2600,1986,Shooter,Atari,0.37,3.57,1.55,0
RealSports Boxing,2600,1986,Sports,Atari,0.29,3.07,1.91,0.07
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,4.38,2.97,0.69,1.81
Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,3.02,2.95,0.6,1.97
Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,2.56,2.54,1.93,0.21
Pro Wrestling,NES,1987,Fighting,Nintendo,2.4,3.28,1.64,0.07
Volleyball,NES,1987,Sports,Nintendo,2.15,2.99,1.9,0.1
Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,1.42,3.14,1.24,0.91
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,1.25,0.47,0.55,4.13
Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.93,2.71,1.85,0.11
Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.84,2.81,2.19,0
Mega Man,NES,1987,Platform,Capcom,0.81,2.62,1.64,0.99
Kung-Fu Master,2600,1987,Action,Activision,0.65,3.21,1.11,0.95
Commando,2600,1987,Action,Activision,0.47,3.18,1.24,0.94
Defender II,2600,1987,Shooter,Atari,0.45,2.07,2.29,0.24
Desert Falcon,2600,1987,Shooter,Atari,0.26,2.73,1.83,0
Super Football,2600,1987,Sports,Atari,0.08,1.85,2.5,0.19
Super Baseball,2600,1987,Sports,Atari,0.07,2.18,0.96,2
Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28,1.74,1.21,1.87
Super Mario Bros. 2,NES,1988,Platform,Nintendo,7.46,3.02,1.12,1.01
Tetris,NES,1988,Puzzle,Nintendo,5.58,1.62,0.77,2.78
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,3.87,3.13,1.69,0.03
Ice Hockey,NES,1988,Sports,Nintendo,2.42,1.92,1.08,2.11
R.C. Pro-Am,NES,1988,Racing,Nintendo,2.14,3.33,0.79,1.09
Donkey Kong Classics,NES,1988,Platform,Nintendo,1.56,3.22,1.55,0.01
Mega Man 2,NES,1988,Action,Capcom,1.51,2.03,2.37,0
Disney's DuckTales,GB,1988,Platform,Capcom,1.43,3.11,1.55,0.08
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,1.25,2.3,2.46,0.2
Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,1.18,4.26,0.26,0.01
Final Fantasy II,NES,1988,Role-Playing,SquareSoft,0.76,0.97,2.11,1.9
River Raid II,2600,1988,Shooter,Activision,0.51,2.3,1.34,1.27
Rampage,2600,1988,Action,Activision,0.24,0.65,0.75,3.61
SimCity,PC,1988,Simulation,Maxis,0.03,2.93,1.25,0.83
Tetris,GB,1989,Puzzle,Nintendo,30.26,1.21,2.43,1.03
Super Mario Land,GB,1989,Platform,Nintendo,18.14,2.49,0.98,1.57
Dr. Mario,GB,1989,Puzzle,Nintendo,5.34,1.09,3.47,0.03
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,4.17,2.1,0.74,2.2
Golf,GB,1989,Sports,Nintendo,2.12,2.44,2.16,0
Tennis,GB,1989,Sports,Nintendo,1.99,1.98,2.23,0.13
Alleyway,GB,1989,Puzzle,Nintendo,1.94,2.71,0.61,1.7
Disney's DuckTales,NES,1989,Platform,Capcom,1.67,3.22,1.69,0
Baseball,GB,1989,Sports,Nintendo,1.61,3.81,0.63,0
Yakuman,GB,1989,Misc,Nintendo,1.28,3.59,1.08,0.05
SolarStriker,GB,1989,Shooter,Nintendo,1.2,1.63,2.45,0.44
The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,1.1,1.96,1.41,1.08
Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,1.1,1.85,1.8,0.95
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.85,3.4,1.3,0.15
Double Dragon,2600,1989,Action,Activision,0.47,0.61,3.28,0.06
Klax,2600,1989,Puzzle,Atari,0.15,2.05,1.16,1.11
Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,1.7,1.99,0.16
Super Mario World,SNES,1990,Platform,Nintendo,20.61,3.42,1.38,0.02
Dr. Mario,NES,1990,Puzzle,Nintendo,4.85,2.79,1.89,0
F-1 Race,GB,1990,Racing,Nintendo,3.41,3.36,1.36,0.07
Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,3.12,3.49,0.01,0.01
F-Zero,SNES,1990,Racing,Nintendo,2.85,3.05,1.17,0.29
Streets of Rage,GEN,1990,Action,Sega,2.6,1.83,1.19,1.54
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,2.23,3.4,0.99,0.09
Final Fight,SNES,1990,Action,Capcom,1.56,2.31,1.72,0.12
Nintendo World Cup,NES,1990,Sports,Nintendo,1.48,3.98,0.26,0.01
Final Fantasy III,NES,1990,Role-Playing,SquareSoft,1.4,2.91,0.99,0.89
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,1.19,0,0,4.87
Mega Man 3,NES,1990,Platform,Capcom,1.17,2.6,1.08,0.81
Qix,GB,1990,Puzzle,Nintendo,1.15,2.62,0.6,1.52
Pilotwings,SNES,1990,Simulation,Nintendo,1.14,2.57,1.68,0
Extra Bases,GB,1990,Sports,Namco Bandai Games,0.33,1.91,2,0.09
Famista '91,NES,1990,Sports,Namco Bandai Games,0.3,2.74,1.33,0.12
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,4.61,2.57,1.57,0.44
Sonic the Hedgehog,GEN,1991,Platform,Sega,4.34,2.83,1.48,0
SimCity,SNES,1991,Simulation,Nintendo,1.98,2.36,2.1,0.02
Final Fantasy II,SNES,1991,Role-Playing,Square,1.77,2.99,1.27,0.04
Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,1.76,1.88,2,0.07
Yoshi,NES,1991,Puzzle,Nintendo,1.75,1.73,2.19,0
Super Scope 6,SNES,1991,Shooter,Nintendo,1.65,3.05,1.41,0.02
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1.39,1.94,1.95,0.08
Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,1.18,2.29,1.97,0.13
Super R.C. Pro-Am,GB,1991,Racing,Nintendo,1.14,1.82,1.12,1.32
NES Open Tournament Golf,NES,1991,Sports,Nintendo,1,2.07,1.71,0.08
Mega Man 4,NES,1991,Platform,Capcom,0.93,2.42,0.91,1.15
Final Fantasy Legend III,GB,1991,Role-Playing,SquareSoft,0.76,2.6,0.99,0.89
Yoshi,GB,1991,Puzzle,Nintendo,0.73,3.04,1.11,0
Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.63,1.8,1.39,1.11
The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0.48,2.08,1.97,0.06
Bomberman II,NES,1991,Puzzle,Hudson Soft,0.44,1.87,1.96,0.22
Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0.42,4.18,0.26,0.01
Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0.39,3.19,0.91,0.01
Super Soccer,SNES,1991,Sports,Nintendo,0.38,4.21,0.24,0
Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0.38,3.63,0.24,0.01
Battle Dodge Ball,SNES,1991,Sports,Banpresto,0.33,2.78,1.27,0.03
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0.33,2.71,1.51,0.03
Tetris 2 + Bombliss,NES,1991,Puzzle,BPS,0.32,0.2,0.14,4.1
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,0.29,1.61,2,0.15
Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0.28,2.71,1.29,0.02
Famista '92,NES,1991,Sports,Namco Bandai Games,0.28,1.54,1.18,1.46
Mega Man II,GB,1991,Platform,Nintendo,0.28,2.52,1.11,0.46
Lord of Darkness,SNES,1991,Action,Tecmo Koei,0.28,2.66,1.29,0.01
Romance of the Three Kingdoms II,SNES,1991,Strategy,Tecmo Koei,0.25,0.1,2.39,1.05
Super R-Type,SNES,1991,Shooter,Nintendo,0.23,2.82,1.03,0.13
Super Baseball Simulator 1.000,SNES,1991,Sports,Culture Brain,0.2,2.19,0.5,1.61
GameBoy Wars,GB,1991,Strategy,Nintendo,0.18,2.03,1.79,0.08
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0.18,2.64,1.33,0.01
SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0.16,1.56,1.93,0.19
World League Soccer,SNES,1991,Sports,Imagineer,0.15,1.74,1.72,0.14
UN Squadron,SNES,1991,Shooter,Capcom,0.12,3.03,0.91,0.26
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0.08,2.2,0.58,1.38
John Madden Football,SNES,1991,Sports,Imagineer,0.07,2.09,1.31,0.62
Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,Konami Digital Entertainment,0.06,2.11,1.16,0.73
Lagoon,SNES,1991,Role-Playing,Kemco,0.05,1.48,2.02,0.14
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,11.18,4,0.26,0
Super Mario Kart,SNES,1992,Racing,Nintendo,8.76,2.77,1.11,0
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,6.3,0.58,3.02,0.04
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,6.03,2.51,1.24,0.11
Kirby's Dream Land,GB,1992,Platform,Nintendo,5.13,3,1.11,0.05
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,4.1,2.24,1.31,0.07
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,3.83,1.46,0,0.83
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,2.79,1.41,2.01,0.1
Mario Paint,SNES,1992,Misc,Nintendo,2.75,2.51,1.32,0.01
Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,2.67,0.92,2.89,0.01
Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,2.45,2.45,1.01,0
Kirby's Pinball Land,GB,1992,Misc,Nintendo,2.19,1.7,2.27,0
SimCity 2000,PC,1992,Simulation,Maxis,2.14,0.78,2.55,0.04
NBA Jam,GEN,1992,Sports,Arena Entertainment,2.05,0.88,2.3,0.2
Yoshi's Cookie,GB,1992,Puzzle,Nintendo,1.68,1.28,1.82,0.57
Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,1.66,2.25,1.47,0.04
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,1.24,0.84,2.78,0.02
The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,1.21,3.38,0.44,0.31
Yoshi's Cookie,NES,1992,Puzzle,Nintendo,1.12,2.03,1.04,0.58
Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0.97,2.04,0.48,1.57
Mega Man 5,NES,1992,Platform,Capcom,0.79,3.79,0.27,0
The 7th Guest,PC,1992,Adventure,Virgin Interactive,0.78,3.36,0.21,0.01
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0.58,4.03,0,0.09
Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0.57,1.65,0.61,1.76
Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0.46,0.71,2.48,0.03
Fatal Fury,SNES,1992,Fighting,Takara,0.39,1.42,0.51,2.1
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0.29,2.57,1.52,0
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0.28,1.1,2.15,0.21
F-1 Grand Prix,SNES,1992,Racing,Video System,0.28,2.32,0.04,0.04
Tetris 2 (weekly jp sales),GB,1992,Puzzle,Nintendo,0.23,0.12,2.26,0.9
Super Adventure Island,SNES,1992,Platform,Hudson Soft,0.22,2.66,1.03,0.04
Otogirisou,SNES,1992,Adventure,ChunSoft,0.16,2.35,1.27,0.03
Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0.16,2.12,1.47,0.05
Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0.13,1.4,1.9,0.11
Gunstar Heroes,GEN,1992,Shooter,Sega,0.13,2.28,1.55,0.16
Ecco the Dolphin,GEN,1992,Adventure,Sega,0.12,1.68,1.51,0.51
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Fighting,Konami Digital Entertainment,0.07,1.13,2.18,0.1
Dragon Slayer: The Legend of Heroes,SNES,1992,Role-Playing,Epoch,0.07,2.78,0.58,0.64
Syndicate,PC,1992,Strategy,Electronic Arts,0.06,1.22,0.28,2.46
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992,Fighting,Konami Digital Entertainment,0.06,2.08,1.35,0
Sonic the Hedgehog 2 (8-bit),GG,1992,Platform,Sega,0.04,2.67,0.87,0.05
Doom,PC,1992,Shooter,id Software,0.03,1.02,2.13,0.23
Empire Deluxe,PC,1992,Strategy,New World Computing,0.02,1.19,2.07,0.08
Super Mario All-Stars,SNES,1993,Platform,Nintendo,10.55,1.53,1.69,0.1
Star Fox,SNES,1993,Shooter,Nintendo,2.99,2.03,1.16,0.37
,GEN,1993,,Acclaim Entertainment,2.39,2.15,1.13,0.07
Super Street Fighter II,SNES,1993,Fighting,Nintendo,2,0.9,1.76,0.92
Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1.93,1.97,0.76,1.07
Secret of Mana,SNES,1993,Role-Playing,SquareSoft,1.83,2.09,1.35,0.06
Disney's Aladdin,SNES,1993,Platform,Capcom,1.75,2.29,1.17,0.01
Kirby's Adventure,NES,1993,Platform,Nintendo,1.75,0.68,0.48,2.62
Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,1.7,1.16,2.12,0
Sonic CD,SCD,1993,Platform,Sega,1.5,2.49,0.66,0.03
Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,1.45,0.93,1.94,0.31
Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,1.2,0.1,0,3.77
Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,1.17,1.53,1.6,0.06
Mega Man X,SNES,1993,Platform,Capcom,1.16,1.44,1.41,0.73
Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,1.15,0.16,1.89,1.12
Final Fight 2,SNES,1993,Action,Capcom,1.02,2.13,1.12,0.1
Tetris 2,NES,1993,Puzzle,Nintendo,0.98,2.12,1.44,0.22
Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0.8,2.21,0.96,0.54
Torneko no Daibouken: Fushigi no Dungeon,SNES,1993,Role-Playing,ChunSoft,0.78,1.78,1.43,0.05
Dragon Ball Z: Ultime Menace,SNES,1993,Fighting,Namco Bandai Games,0.73,0.86,1.56,1.05
J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0.69,1.35,1.7,0.15
Nobunaga no Yabou: Haouden,SNES,1993,Strategy,Tecmo Koei,0.62,1.05,1.91,0.41
